Key,File,Type,UsedInMainMenu,NoTranslate,english
buffDrunkGrandpasWheelchairRacingElixirDesc,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
buffDrunkGrandpasWheelchairRacingElixirName,buffs,Buff,,,"Grandpas Wheelchair Racin' Elixir"
buffDrunkGrandpasWheelchairRacingElixirTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..."
drinkJarGrandpasWheelchairRacingElixir,items,Food,,,Grandpa's Wheelchair Racin' Elixir
drinkJarGrandpasWheelchairRacingElixirDesc,items,Food,,,"Grandpas Wheelchair Racin' Elixir\nHealth Amount +5\nHealth Restore 0.25h/sec\nBlock Damage +10%\nMovement Speed +10%\nStamina Regen +10%\nDuration 1 Hour (stacks to 2hr)\n\nSpecial:\nInhibits Hunger depletion from Health Regen\nInhibits Thirst depletion from Stamina Regen"
drinkJarGrandpasWheelchairRacingElixirPromptDesc,items,Food,,,Drink?
buffDrunkGrandpasThemsFightinWordsMoonshineDesc,buffs,Buff,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +15%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nDamage Resistance +15%"
buffDrunkGrandpasThemsFightinWordsMoonshineName,buffs,Buff,,,"Grandpas Fightin' Words Moonshine"
buffDrunkGrandpasThemsFightinWordsMoonshineTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasThemsFightinWordsMoonshine,items,Food,,,Grandpas Fightin' Words Moonshine
drinkJarGrandpasThemsFightinWordsMoonshineDesc,items,Food,,,"Grandpas Fightin' Words Moonshine\nMelee Damage +5%\nAttacks per min +5%\nResist:\n   Infection-Fatigue +10%\n   Laceration-Abrasions +10%\n   Stun-Strain-Bleeding +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\nDamage Resistance +15%"
drinkJarGrandpasThemsFightinWordsMoonshinePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasGunbeltOilSauceDesc,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
buffDrunkGrandpasGunbeltOilSauceName,buffs,Buff,,,"Grandpas Gunbelt Oil Sauce"
buffDrunkGrandpasGunbeltOilSauceTooltip,buffs,Buff,,,"Get my wheelchair, lets do this..,"
drinkJarGrandpasGunbeltOilSauce,items,Food,,,Grandpas Gunbelt Oil Sauce
drinkJarGrandpasGunbeltOilSauceDesc,items,Food,,,"Grandpas Gunbelt Oil Sauce\nRanged Damage +5%\nRounds per min +5%\nWeapon Handling +10%\nReload Speed +10%\nDuration 1 Hour (stacks to 2hr)\nSpecial:\n    Fire Resistance +25%\n    Explosion Resistance +25%"
drinkJarGrandpasGunbeltOilSaucePromptDesc,items,Food,,,Drink?
buffDrunkGrandpasAwesomeSauceChangedDesc,buffs,Buff,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
buffDrunkGrandpasAwesomeSauceChangedName,buffs,Buff,,,Grandpas Awesome Sauce
buffDrunkGrandpasAwesomeSauceChangedTooltip,buffs,Buff,,,Tastes like brass or ass. Hard to tell.
drinkJarGrandpasAwesomeSauce,items,Food,,,Grandpa's Awesome Sauce
drinkJarGrandpasAwesomeSauceDesc,items,Food,,,Focus your brain on identifying the quality loot. \nRaise Lootstage by 40 for 3 min.
drinkJarGrandpasAwesomeSauceSchematic,items,Food,,,Grandpa's Awesome Sauce Recipe
statMovementSpeedChanged,ui_display,Item stat,,,Movement Speed
statGeneralDamageResist,ui_display,Item stat,,,Damage Resistance
statReloadSpeedMultiplier,ui_display,Item stat,,,Reload Speed
statFireResistance,ui_display,Item stat,,,Fire Resist
statStunFatigueResistance1,ui_display,Item stat,,,Resist: Infection - Fatigue
statStunFatigueResistance2,ui_display,Item stat,,,Resist: Laceration - Abrasion
statStunFatigueResistance3,ui_display,Item stat,,,Resist: Stun - Sprain - Bleeding
marysRevengeHomemadeRifle,items,Gun,,,Mary's Revenge - Homemade bush rifle.
marysRevengeHomemadeRifleDesc,items,Gun,,,"Mary's Revenge.\nBorne from the dark depths of vengeance. Has flawed barrel rifling that causes sporadic bullet tumble - 20% chance of inflicting lethal bleed out.\nUses .45 ammo\n300% Headshot damage\nMod with Shotgun Barrel Extender.\n8X Scope attachments have full focus range."
rewardMarysRevengeBundle,items,Item,,,Mary's Revenge
rewardMarysRevengeBundleDesc,items,Item,,,There are 6 in a Coven.
marysRevengeArtifactContainer,items,Item,,,Mary's Revenge
marysRevengeArtifactContainerDesc,items,Item,,,Mary's Revenge
buffKillCountController,buffs,Buff,,,Zombie Kills: 
buffKillCountControllerDesc,buffs,Buff,,,Zombie kill streak.\nResets on death.\nTriggers Mary's Revenge at 4000.
buffGraveArtifactComplete,buffs,Buff,,,Cursed Artifact-Strongbox 
buffGraveArtifactCompleteDesc,buffs,Buff,,,Cursed Artifact-Strongbox
milestoneBundleZombieKill,buffs,Buff,,,Mary reaches out to you from the grave
testbuffmsg,buffs,Buff,,,Buff test Msg
modGunShotgunTubeExtenderMagazine,item_modifiers,Mod,,,Tube Extender Mod For Shotgun and Mary's Revenge.
modGunShotgunTubeExtenderMagazineDesc,item_modifiers,Mod,,,Increases magazine capacity for pump shotguns and Mary's Revenge by 3 shells.
questMarysRevengeArtifactContainerOpened,Quest,Challenge Info,,,Cursed Container.
questMarysRevengeArtifactContainerOpenedDesc,Quest,Challenge Info,,,Break open the cursed container to get the Artifact inside.
qt_burialSiteMarysRevengeNote,items,Quest - Treasure Map,,,Inspect Burial Site - Mary's Revenge
qt_burialPatrolCarNote,items,Missing Patrol Car,,,Dirty old Police Notebook: Missing Schematics
